Platform,size,GPU,PKG,seconds
cpp-bool-ops, 512, 6.32, 12.32, 0.29607771
cpp-bool-ops, 512, 7.18, 14.67, 0.30550983
cpp-bool-ops, 512, 6.18, 12.61, 0.29830088
cpp-bool-ops, 512, 6.21, 12.87, 0.29714151
cpp-bool-ops, 512, 7.22, 14.86, 0.30434064
cpp-bool-ops, 512, 7.23, 15.77, 0.30073309
cpp-bool-ops, 512, 6.89, 13.61, 0.29984960
cpp-bool-ops, 512, 7.69, 14.94, 0.30572006
cpp-bool-ops, 512, 7.35, 17.28, 0.30706312
cpp-bool-ops, 512, 7.37, 16.58, 0.30652885
cpp-bool-ops, 512, 7.35, 15.17, 0.30244433
cpp-bool-ops, 512, 7.31, 16.10, 0.30129498
cpp-bool-ops, 512, 7.27, 15.35, 0.30805457
cpp-bool-ops, 512, 7.49, 16.08, 0.30062862
cpp-bool-ops, 512, 9.01, 20.08, 0.30769994
cpp-bool-ops, 512, 13.06, 19.21, 0.30387182
cpp-bool-ops, 512, 11.02, 14.47, 0.29492988
cpp-bool-ops, 512, 11.08, 14.38, 0.29746064
cpp-bool-ops, 512, 11.02, 13.76, 0.29867140
cpp-bool-ops, 512, 11.57, 16.09, 0.30113088
cpp-bool-ops, 512, 11.07, 15.41, 0.30719345
cpp-bool-ops, 512, 9.53, 12.71, 0.29874674
cpp-bool-ops, 512, 9.08, 16.91, 0.30473166
cpp-bool-ops, 512, 8.17, 15.98, 0.30715803
cpp-bool-ops, 512, 6.66, 13.20, 0.29553304
cpp-bool-ops, 512, 7.76, 15.10, 0.30649636
cpp-bool-ops, 512, 8.21, 17.22, 0.30363967
cpp-bool-ops, 512, 7.98, 16.55, 0.30456202
cpp-bool-ops, 512, 7.39, 16.37, 0.30509427
cpp-bool-ops, 512, 7.30, 16.30, 0.30186303
cpp-bool-ops, 1024, 13.01, 30.22, 0.58931115
cpp-bool-ops, 1024, 14.63, 35.99, 0.60366689
cpp-bool-ops, 1024, 13.94, 32.70, 0.60344733
cpp-bool-ops, 1024, 12.70, 27.70, 0.59440044
cpp-bool-ops, 1024, 14.29, 33.37, 0.60374111
cpp-bool-ops, 1024, 14.23, 32.53, 0.61058794
cpp-bool-ops, 1024, 15.53, 37.15, 0.61081795
cpp-bool-ops, 1024, 15.82, 38.54, 0.60464351
cpp-bool-ops, 1024, 13.78, 30.09, 0.60018776
cpp-bool-ops, 1024, 15.33, 35.11, 0.60259568
cpp-bool-ops, 1024, 23.54, 37.89, 0.60775474
cpp-bool-ops, 1024, 21.85, 30.65, 0.59172258
cpp-bool-ops, 1024, 22.97, 30.95, 0.60221877
cpp-bool-ops, 1024, 13.55, 27.93, 0.59686262
cpp-bool-ops, 1024, 13.77, 30.32, 0.60077163
cpp-bool-ops, 1024, 13.18, 28.48, 0.59770077
cpp-bool-ops, 1024, 13.63, 29.17, 0.60585396
cpp-bool-ops, 1024, 12.85, 27.61, 0.59612117
cpp-bool-ops, 1024, 13.81, 30.27, 0.60571697
cpp-bool-ops, 1024, 13.74, 32.02, 0.61105278
cpp-bool-ops, 1024, 13.65, 31.88, 0.61036067
cpp-bool-ops, 1024, 12.58, 27.84, 0.59941845
cpp-bool-ops, 1024, 12.36, 26.86, 0.58041880
cpp-bool-ops, 1024, 12.54, 28.31, 0.59384062
cpp-bool-ops, 1024, 14.27, 33.57, 0.60537023
cpp-bool-ops, 1024, 13.73, 29.70, 0.61152330
cpp-bool-ops, 1024, 12.58, 27.27, 0.58679109
cpp-bool-ops, 1024, 12.63, 27.57, 0.59657211
cpp-bool-ops, 1024, 13.55, 29.02, 0.60125308
cpp-bool-ops, 1024, 13.77, 28.54, 0.60622160
cpp-bool-ops, 2048, 25.39, 55.53, 1.19762619
cpp-bool-ops, 2048, 25.32, 55.67, 1.19948432
cpp-bool-ops, 2048, 24.88, 51.55, 1.19930746
cpp-bool-ops, 2048, 25.55, 56.66, 1.17722668
cpp-bool-ops, 2048, 44.30, 59.45, 1.19318240
cpp-bool-ops, 2048, 34.94, 59.68, 1.20034529
cpp-bool-ops, 2048, 29.31, 70.48, 1.21518466
cpp-bool-ops, 2048, 29.66, 63.71, 1.18388876
cpp-bool-ops, 2048, 29.63, 59.08, 1.19312509
cpp-bool-ops, 2048, 52.95, 61.32, 1.19409320
cpp-bool-ops, 2048, 44.89, 66.30, 1.20730564
cpp-bool-ops, 2048, 28.14, 64.11, 1.20753947
cpp-bool-ops, 2048, 26.28, 60.99, 1.17026555
cpp-bool-ops, 2048, 27.13, 63.84, 1.21599557
cpp-bool-ops, 2048, 27.28, 71.03, 1.21566159
cpp-bool-ops, 2048, 27.52, 67.58, 1.21655445
cpp-bool-ops, 2048, 34.48, 67.72, 1.20186408
cpp-bool-ops, 2048, 44.47, 67.87, 1.19801101
cpp-bool-ops, 2048, 32.22, 67.56, 1.21663966
cpp-bool-ops, 2048, 30.20, 90.38, 1.21971512
cpp-bool-ops, 2048, 30.47, 82.12, 1.21292141
cpp-bool-ops, 2048, 30.17, 74.87, 1.21888014
cpp-bool-ops, 2048, 28.83, 70.70, 1.20758683
cpp-bool-ops, 2048, 30.28, 69.57, 1.20633882
cpp-bool-ops, 2048, 30.65, 75.19, 1.20353923
cpp-bool-ops, 2048, 30.08, 79.52, 1.21175598
cpp-bool-ops, 2048, 31.54, 74.88, 1.20560838
cpp-bool-ops, 2048, 29.14, 65.16, 1.21599271
cpp-bool-ops, 2048, 27.75, 65.26, 1.19591187
cpp-bool-ops, 2048, 30.75, 66.71, 1.20322342
