engine,pkg,cpu
knuth_b,0.51,0.009490576
knuth_b,0.60,0.009617594
knuth_b,0.54,0.009791139
knuth_b,0.48,0.009986745
knuth_b,0.53,0.010271077
knuth_b,0.44,0.009932394
knuth_b,0.37,0.009754110
knuth_b,0.46,0.009679570
knuth_b,0.50,0.009789125
knuth_b,0.35,0.009728983
knuth_b,0.41,0.009660655
knuth_b,0.41,0.009662649
knuth_b,0.42,0.009681013
knuth_b,0.40,0.009725727
knuth_b,0.45,0.010248835
minstd_rand0,0.19,0.004729128
minstd_rand0,0.19,0.004692239
minstd_rand0,0.22,0.004654618
minstd_rand0,0.21,0.004669076
minstd_rand0,0.22,0.004571884
minstd_rand0,0.20,0.004681729
minstd_rand0,0.18,0.004639301
minstd_rand0,0.18,0.004651914
minstd_rand0,0.24,0.004633038
minstd_rand0,0.24,0.004680156
minstd_rand0,0.24,0.004693692
minstd_rand0,0.19,0.004659598
minstd_rand0,0.26,0.004825549
minstd_rand0,0.26,0.004775214
minstd_rand0,0.28,0.004784201
minstd_rand,0.26,0.004699372
minstd_rand,0.20,0.004649779
minstd_rand,0.25,0.004721875
minstd_rand,0.22,0.004812494
minstd_rand,0.27,0.004790874
minstd_rand,0.21,0.004732144
minstd_rand,0.27,0.005171837
minstd_rand,0.26,0.004714981
minstd_rand,0.23,0.004636776
minstd_rand,0.22,0.004724249
minstd_rand,0.22,0.004833533
minstd_rand,0.26,0.004895780
minstd_rand,0.25,0.004785022
minstd_rand,0.19,0.004777208
minstd_rand,0.29,0.005383713
mt19937,0.35,0.006704825
mt19937,0.17,0.003126399
mt19937,0.14,0.003038946
mt19937,0.21,0.003828113
mt19937,0.15,0.003125748
mt19937,0.15,0.003053544
mt19937,0.19,0.003152268
mt19937,0.13,0.002930072
mt19937,0.11,0.002850413
mt19937,0.15,0.002881140
mt19937,0.15,0.002935012
mt19937,0.20,0.003088850
mt19937,0.15,0.003460014
mt19937,0.12,0.002866793
mt19937,0.13,0.002822712
mt19937_64,0.15,0.002780383
mt19937_64,0.17,0.002755645
mt19937_64,0.17,0.002857566
mt19937_64,0.16,0.002741119
mt19937_64,0.09,0.002728475
mt19937_64,0.10,0.002748322
mt19937_64,0.10,0.002749765
mt19937_64,0.16,0.002764733
mt19937_64,0.15,0.002869129
mt19937_64,0.15,0.002923240
mt19937_64,0.14,0.002764082
mt19937_64,0.13,0.002751588
mt19937_64,0.14,0.002747290
mt19937_64,0.15,0.002782075
mt19937_64,0.16,0.002797484
mt11213b,0.10,0.002581820
mt11213b,0.08,0.002406803
mt11213b,0.15,0.002397085
mt11213b,0.15,0.002611426
mt11213b,0.10,0.002498484
mt11213b,0.15,0.002406283
mt11213b,0.13,0.002391264
mt11213b,0.08,0.002416942
mt11213b,0.10,0.002360166
mt11213b,0.15,0.002585939
mt11213b,0.17,0.002504747
mt11213b,0.10,0.002394861
mt11213b,0.08,0.002486142
mt11213b,0.10,0.002382688
mt11213b,0.11,0.002345890
rand,0.61,0.012236625
rand,0.52,0.012339568
rand,0.49,0.012134994
rand,0.49,0.012233709
rand,0.55,0.012310032
rand,0.61,0.012158178
rand,0.58,0.012226987
rand,0.61,0.012192231
rand,0.57,0.012088097
rand,0.56,0.012072668
rand,0.58,0.012303550
rand,0.52,0.012305374
rand,0.55,0.012878827
rand,0.55,0.012146737
rand,0.60,0.012104437
ranlux24_base,0.36,0.006472901
ranlux24_base,0.35,0.006574410
ranlux24_base,0.34,0.006432456
ranlux24_base,0.24,0.006292223
ranlux24_base,0.34,0.006524377
ranlux24_base,0.29,0.006377452
ranlux24_base,0.34,0.006410855
ranlux24_base,0.32,0.006394544
ranlux24_base,0.31,0.006415824
ranlux24_base,0.32,0.006464866
ranlux24_base,0.28,0.006361802
ranlux24_base,0.25,0.006292563
ranlux24_base,0.27,0.006383814
ranlux24_base,0.27,0.006363937
ranlux24_base,0.27,0.006356112
ranlux48_base,0.33,0.006173059
ranlux48_base,0.29,0.006010917
ranlux48_base,0.29,0.006120351
ranlux48_base,0.31,0.006056772
ranlux48_base,0.34,0.006085305
ranlux48_base,0.32,0.006339471
ranlux48_base,0.32,0.006070237
ranlux48_base,0.35,0.006197064
ranlux48_base,0.35,0.006153063
ranlux48_base,0.29,0.006323150
ranlux48_base,0.24,0.006493369
ranlux48_base,0.30,0.005983485
ranlux48_base,0.24,0.005981341
ranlux48_base,0.27,0.006086949
ranlux48_base,0.27,0.005969018
ranlux24,2.09,0.047179082
ranlux24,1.96,0.047061712
ranlux24,1.96,0.047062133
ranlux24,1.99,0.047787610
ranlux24,2.09,0.048833808
ranlux24,2.12,0.046931399
ranlux24,2.08,0.046779504
ranlux24,2.01,0.047665893
ranlux24,2.06,0.047805403
ranlux24,1.94,0.046440791
ranlux24,2.06,0.047275843
ranlux24,1.98,0.047599759
ranlux24,2.05,0.047918375
ranlux24,2.15,0.050844520
ranlux24,2.14,0.047014764
ranlux48,6.91,0.168124811
ranlux48,6.47,0.165099951
ranlux48,6.24,0.164884839
ranlux48,6.26,0.165543972
ranlux48,6.51,0.172707525
ranlux48,6.35,0.166124839
ranlux48,6.25,0.164839725
ranlux48,6.28,0.164921217
ranlux48,6.30,0.164827732
ranlux48,6.37,0.169877500
ranlux48,6.38,0.168607264
ranlux48,6.42,0.169220070
ranlux48,6.44,0.170208359
ranlux48,6.41,0.169631249
ranlux48,6.45,0.169150820
xoroshiro128+,0.09,0.002192312
xoroshiro128+,0.08,0.002878916
xoroshiro128+,0.11,0.002118133
xoroshiro128+,0.11,0.002058692
xoroshiro128+,0.08,0.002127250
xoroshiro128+,0.09,0.002065294
xoroshiro128+,0.16,0.002074902
xoroshiro128+,0.20,0.003476214
xoroshiro128+,0.10,0.002325672
xoroshiro128+,0.09,0.002070153
xoroshiro128+,0.09,0.002108876
xoroshiro128+,0.11,0.002063380
xoroshiro128+,0.15,0.002187473
xoroshiro128+,0.10,0.002213441
xoroshiro128+,0.09,0.002080833
xoshiro256+,0.08,0.002018496
xoshiro256+,0.10,0.002016392
xoshiro256+,0.10,0.002014510
xoshiro256+,0.10,0.002033965
xoshiro256+,0.08,0.002049755
xoshiro256+,0.10,0.002218221
xoshiro256+,0.10,0.002009229
xoshiro256+,0.10,0.002044405
xoshiro256+,0.08,0.002050997
xoshiro256+,0.09,0.002034336
xoshiro256+,0.10,0.002024819
xoshiro256+,0.15,0.002177233
xoshiro256+,0.10,0.002265038
xoshiro256+,0.08,0.002039015
xoshiro256+,0.09,0.002022404
